what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950163902
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950187958
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950190221
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950195245
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950198657
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950233514
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950250024
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950253063
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950259442
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950300471
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950313257
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950329786
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950333112
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950340038
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232950366888
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950369929
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232950379238
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950379381
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1232950523823
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950531248
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950971003
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1232950972887
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1232950972939
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950973240
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232950973269
