what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233117816251
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233117818049
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233117835622
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233117864660
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233117985064
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118003318
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118052561
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118175144
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118206860
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.hierarchy,1233118206932
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118250236
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118291260
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118303126
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118313812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118340703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118345730
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118438656
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1233118438750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118439038
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233118442208
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118448497
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1233118471062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233118471079
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233118473715
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233118476646
